DISTRICT,DA0CA07R,DA0CC07R,DA0CS07R,DA0CT07R,DACRB07R,DACRM07R,DACRR07R,DB0CA07R,DB0CC07R,DB0CS07R,DB0CT07R,DBCRB07R,DBCRM07R,DBCRR07R,DECRB07R,DECRM07R,DECRR07R,DF0CA07R,DF0CC07R,DF0CS07R,DF0CT07R,DFCRB07R,DFCRM07R,DFCRR07R,DH0CA07R,DH0CC07R,DH0CS07R,DH0CT07R,DHCRB07R,DHCRM07R,DHCRR07R,DI0CA07R,DI0CC07R,DI0CS07R,DI0CT07R,DICRB07R,DICRM07R,DICRR07R,DLCRB07R,DLCRM07R,DLCRR07R,DM0CA07R,DM0CC07R,DM0CS07R,DM0CT07R,DMCRB07R,DMCRM07R,DMCRR07R,DP0CA07R,DP0CC07R,DP0CS07R,DP0CT07R,DPCRB07R,DPCRM07R,DPCRR07R,DRCRB07R,DRCRM07R,DRCRR07R,DSCRB07R,DSCRM07R,DSCRR07R,DW0CA07R,DW0CC07R,DW0CS07R,DW0CT07R,DWCRB07R,DWCRM07R,DWCRR07R
"014903",20,31.4,1030,61.4,42,55,60,-1,27.3,996,57.9,29,35,65,13,33,39,20.2,26.3,1016,64.5,44,52,66,17.5,32.3,1024,34.1,21,36,49,-1,20,-1,83.3,-1,20,-1,.,.,.,19.7,37.5,1044,57.8,39,57,53,-1,-1,-1,60,40,80,60,11,21,43,0,8,10,20.2,32,1034,69.8,51,64,64
"014905",20.8,27.3,-1,44,17,46,28,-1,-1,.,-1,-1,-1,-1,0,40,22,19.8,16.7,-1,66.7,11,56,30,-1,-1,.,40,20,20,80,.,.,.,.,.,.,.,.,.,.,22,40,-1,31.3,20,41,27,.,.,.,.,.,.,.,0,14,14,.,-1,-1,21.5,37.5,-1,42.1,17,50,16
"014906",19.6,17.9,942,70.7,26,43,39,17.1,5.8,876,75.8,15,30,33,20,34,33,19.9,14.7,929,74.7,26,40,43,19.4,11.3,923,60.3,18,39,32,-1,0,-1,100,50,50,67,0,29,0,19.2,22,963,65.8,25,47,34,21.4,30.6,1005,87.8,38,56,49,13,29,29,7,16,11,22.8,33.7,1034,61.9,38,58,47
"014907",18.9,12.1,971,63.5,42,51,59,.,.,.,-1,-1,-1,-1,29,29,43,-1,9.1,1003,47.8,39,48,58,-1,20,1023,55.6,56,56,56,.,.,.,.,.,.,.,.,.,.,19.4,13.6,953,75.9,44,54,59,.,.,.,.,.,.,.,13,11,11,.,-1,-1,18.4,10.7,954,66.7,40,51,61
"014908",21.5,32.4,1017,70.8,41,57,58,.,-1,-1,-1,-1,-1,-1,0,33,25,21.7,29,1032,83.8,44,51,63,-1,33.3,-1,50,23,54,46,.,.,.,.,.,.,.,-1,-1,-1,20.9,35.1,1007,62.7,40,62,55,.,-1,-1,-1,-1,-1,-1,4,14,31,-1,-1,-1,21.3,33.3,1015,73.2,44,57,60
"014909",21.7,35.3,1026,51.9,35,54,45,17.8,0,851,38.9,18,38,34,16,32,29,21.8,33.6,1013,55.2,35,51,46,18.7,27,1009,37.8,24,47,28,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,22.3,38.1,1054,47.2,35,58,43,-1,71.4,1174,-2,67,100,67,10,31,24,12,22,17,24.1,47.9,1083,64,49,64,58
"014910",21.7,28.9,1025,55.6,33,48,46,-1,-1,-1,-1,-1,-1,-1,10,32,18,22.2,25,1002,60.6,40,47,57,-1,-1,-1,44.4,11,22,10,.,.,.,.,.,.,.,.,.,.,21.2,32,1051,52.1,28,49,40,.,.,.,-1,-1,-1,-1,3,16,28,-1,-1,-1,22,32.5,1035,57.1,36,53,51
"015801",.,0,824,13.2,9,13,26,.,.,.,-1,.,.,.,9,17,36,.,-1,-1,17.6,20,30,30,.,-1,-1,7.1,7,13,31,.,-1,-1,-2,.,.,.,.,.,.,.,-1,-1,9.5,0,0,23,.,.,.,.,.,.,.,6,12,18,-1,-1,-1,.,-1,-1,22.2,14,14,14
"015802",-1,0,725,14.5,0,4,8,-1,0,-1,19.2,0,0,0,0,5,6,.,-1,-1,11.1,0,6,13,.,-1,-1,12,0,9,10,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,15.4,0,0,0,.,.,.,-1,.,.,.,0,4,8,.,.,.,.,-1,-1,11.1,0,0,17
"015803",.,.,.,0,-1,40,-1,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,0,-1,40,-1,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,0,-1,-1,-1,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.
